Latein,Deutsch,Kartei,Wortart
curare,sich kümmern; soregen (für); pflegen,1,v
ego,ich,1,x
spectare,(an)schauen; betrachten,1,v
monere,mahnen; erinnern,1,v
tandem,endlich; schließlich,1,x
puella,das Mädchen,1,s
quis?,wer?,1,x
autem,"aber, jedoch",1,x
semper,immer,1,x
narrare,"erzählen, berichten",1,v
quaeso,ich bitte,1,v
quaesumus,wir bitten,1,v
enim,denn; nämlich,1,x
grammaticus,der Literaturlehrer,1,s
magister,der Lehrer,1,s
Romanus,der Römer,1,s
dea,die Göttin,1,s
deus,Gott,1,s
sacrum,das Opfer(tier); die Opferhandlung,1,s
ara,der Altar,1,s
templum,der Tempel,1,s
ignorare,nicht wissen ; nicht kennen,1,v
non ignorare,genau wissen,1,v
habere,haben,1,v
timere,sich fürchten; Angst haben,1,v
colere; colo; colui,bewirtschaften; bebauen; pflegen; verehren,1,v
emere; emo; emi,kaufen,1,v
vendere; vendo; vendidi,verkaufen,1,v
dicere; dico; dixi,"sagen, sprechen, reden, nennen",1,v
facere; facio; feci,tun; machen; ausführen,1,v
cupere; cupio; cupivi,wünschen; haben wolln; begehren,1,v
novem,neun,1,x
mille,tausend,1,x
nummus,die Münze,1,s
poscere; posco; poposci,fordern,1,v
tres,drei,1,x
incendere; incendo; incendi,entflammen; in Brand setzen,1,v
sex,sechs,1,x
iterum,wiederum; ein zweies mal,1,x
certe,"sicher, gewiss",1,x
si,"wenn, falls",1,x
theatrum,das Theater,1,s
videre; video; vidi,sehen,1,v
ludus,das Spiel; die Schule; die (zirkus)Spiele,1,s
incipere; incipio; coepi,anfangen; beginnen,1,v
filius,der Sohn,1,s
effugere; effugio; effugi,entkommen,1,v
mercator,der Händler; Kaufmann,1,s
senator,der Senator,1,s
gladiator,der Gladiator,1,s
fur,der Dieb; die Diebin,1,s
clamor,der Schrei; das Gesschrei; der Lärm,1,s
esse; sum; fui,sein,1,v
adesse; adsum,da sein; helfen,1,x
abesse; absum,fort sein; weg sein; fehlen,1,x
retinere; retineo,zurückhalten; behalten; festhalten,1,v
intus,innne; im inneren,1,x
turba,die (Menschen-)Menge; das Durcheinander; das Gedränge,1,s
amor,die Liebe,1,s
dolor,der Schmerz,1,s
vita,das Leben; die Lebensweise,1,s
bestia,das (wilde) Teir,1,s
liberi,die Kinder,1,s
porta,die Tür; das Tor; der eingang,1,s
claudere; claudo; clausi,schließen; einschließen; versprerren,1,v
non iam,nicht mehr,1,x
larva,das Gespenst,1,s
persona,die Maske; die Rolle (im Schausoiel),1,s
scaena,die Bühne,1,s
occurrere; occuro; occurri,entgegenlaufen; -treten; begegnen,1,v
curia,die Kurie; das Rathaus,1,s
orator,der Redner,1,s
flamma,die Flamme,1,s
me,mich,1,x
fugere; fugio; fugi,fliehen (vor); meiden,1,v
locus,der Ort; der Platz; die Stelle,1,s
dare; do; dedi,geben,1,v
appropinquare; appropinqo, sich nähern; näher kommen,1,v
relinquere; relinquo; reliqui,verlassen; zurücklassen,1,v
agere; ago; egi,tun; handeln; verhandeln; treiben,1,v
negotia agere,Geschäft betreiben,1,x
bestiam agere,ein Tier jagen,1,x
fabulam agere,ein Theaterstück aufführen,1,x
quid agis?,wie geht es dir?,1,x
vitam agere,sein Leben verbringen,1,x
mittere; mitto; misi,schicken; loslassen; laufen lassen; werfen,1,v
posse ; possum; potui,können; vermögen,1,v
nondum,noch nicht,1,x
exspectare; exspecto,warten (auf); erwarten,1,v
statim,sofort; auf der Stelle,1,x
venia,die Nachsicht; die Verzeihung,1,s
veniam dare,verzeihen,1,x
resistere; resisto; resisti,sich widersetzen; Widerstand leisten,1,v
adhuc,bis jetzt; immer noch,1,x
explicare; explico,erklären,1,v
nuper,neulich,1,x
signum,das Zeichen; das Feldzeichen,1,s
vincere; vinco; vici,siegen; besiegen,1,v
praemium,die Belohnung; der Lohn; der Preis,1,s
honor,die Ehre; das Eherenamt,1,s
studere; studeo,sich bemühen; (tum) wollen; studieren,1,v
vincere studere,siegen wollen,1,x
amico studere,sich um den Freund bemühen,1,x
vix,kaum; nur mit Mühe,1,x
equus,das Pferd,1,s
frustra,vergeblich; umsonst,1,x
denique,schließlich,1,x
petere; peto; petivi,bitte; verlangen; haben wollen; streben nach; erreichen wollen; aufsuchen; angreifen,1,v
senex; senis,der alte Mann; Greis,1,s
adulescens; adulescentis; adulescentium (gen. pl),der Jugendliche; der junge Mann,1,s
vox; vocis,die Stimme; das Wort,1,s
credere; credo; credidi,glauben; vertrauen,1,v
incendium,der Brand; das Feuer,1,s
auctor; auctoris,der Urheber; der Grümder; der Schriftsteller,1,s
taberna,der Laden; das Wirtshaus,1,s
forte,zufällig,1,x
intellegere; intellego; intellexi,erkennen; verstehen; einsehen,1,v
comprehendere; comprehendo; comprehendi,ergreifen; festnehmen; erfassen,1,v
servare; servo,retten (vor) ; bewahren ; beschützen,1,v
sollicitare; sollicito,beunruhigen; eregen,1,v
convincere; convinco; convici,überführen,1,v
gaudium,die Freude,1,s
gladius,das Schwert,1,s
arma; orum n,die Waffe,1,s
supplicium,die Strafe; die Todesstrafe; die Hinrichtung; das Gebet,1,s
populus; -i,das Volk,1,s
exercere; exerceo,üben; trainieren,1,v
medicus; -i,der Arzt,1,s
carere; careo,entbehren; nicht haben; frei sein von,1,v
ferrum,Eisen,1,s
se,sich,1,x
afficere; afficio; affeci (mit Abl.) ,versehen (mit),1,v
doloribus afficere,Schmerz zufügen,1,x
gaudio afficere,erfereuen,1,x
honor afficere,Ehre erweisen,1,x
supplicio afficere,hinrichten,1,x
licet,es ist jemanden möglich ; erlaubt,1,x
solum,nur,1,x
non solum sed etiam,nicht nur sondern auch,1,x
recreare; recreo,erholen,1,v
corpus; corporis,der Körper; der Leichnam,1,s
raro,selten,1,x
vulnus; vulneris,die Wunde,1,s
labor; laboris,die Arbeit; die Mühe,1,s
domum,heim;  nach Hause,1,x
decedere; decedo; decessi,weggehen; sterben,1,v
vestis; vestis f; vestium,das Kleid; die Kleidung,1,s
tunica,die Tunika,1,s
toga,die Toga,1,s
consul; -is m,der Konsul,1,s
currere; curro,laufen; rennen,1,v
habitare,wohnen; bewohnen,1,v
stare; sto; steti,stehen; dastehen,1,v
de,von...herab; von; über; um/wegen,1,x
de amico narrare,vom Freund erzählen,1,x
de amicis timere,um die Freunde angst haben,1,x
ad (akk),zu (...hin); bei; an; nach,1,x
per (akk),durch (...hindurch); über,1,x
post (akk),nach; hinter,1,x
e/ex (abl),aus; aus...heraus; von....her; seit,1,x
super (akk),über,1,x
cum (abl),mit,1,x
sine,ohne,1,x
in,(akk): in (...hinein); nach(...hin); gegen (wohin?) (abl): in an auf bei (wo),1,x
sub,(akk) unter (wohin); (abl) unter (wo),1,x
sermo; sermonis,das Gespräch; die Sprache,1,s
abdere; abdo; abdidi,verstecken; verbergen,1,v
oculus; -i,Auge,1,s
amittere; amitto; amisi,verlieren,1,v
vicus; -i,die Gasse; das Dorf,1,s
plebs; plebis f,das (einfache) Volk,1,s
pecunia; -ae,das Geld,1,s
timor; timoris m,die Angst; die Furcht,1,s
mutare; muto,ändern; verändern; verwandeln,1,v
possidere; possideo; possedi,besitzen,1,v
donum; -i,das Geschenk,1,s
poena; -ae,die Strafe,1,s
ponea/poenis afficere,bestrafen,1,x
studium; -i,Das Bemühen; das Streben; das wissenschaftlich Beschäftigen,1,s
nihil,nichts,1,x
convenire; convenio; conveni,passen; zusammentreffen; treffen,1,v
parentes; parent(i)um,die Eltern,1,s
libertas; libertatis f,die Freiheit,1,s
fortuna; -ae,Glück; das Schicksal,1,s
nos,Nom. wir; Akk. uns,1,x
vos,Nom. ihr; Akk. euch,1,x
is; ea; id,dieser; der(jenige); er,1,x
domi,daheim; zu Hause,1,x
ut,wie,1,x
a/ab (abl.),von; von...her; von...weg,1,x
gratia; -ae,der Dank; die anmut,1,s
libenter,gern,1,x
diligere; diligo; dilexi,lieben; (sehr) schätzen,1,v
itaque,daher; deshalb,1,x
prodesse; prosum; profui,nützen,1,v
tamen,dennoch; jedoch,1,x
haud,nicht,1,x
paene,beinahe; fast,1,x
periculim; -i,die Gefahr,1,s
desinere; desino; desii,ablassen; aufhören,1,v
deponere; depono; deposui,ablegen; niederlegen,1,v
magnus; -a; -um,groß; wichtig,1,x
parvus; -a; um,klein; gerin,1,x
bonus; -a; -um,gut,1,x
bona; -orum n (pl),die Güter,1,s
malus; -a; um,böse; schlecht; schlimm,1,x
vir; viri,der Mann,1,s
puer; pueri,der Junge,1,s
magister; magisteri,der Lehrer,1,s
pulcher; pulchera; pulcherum,schön,1,x
miser; misera; miserum,arm; unglücklich; erbärmlich,1,x
cognoscere; cognosco; cognovi,kennenlernen; erkennen; erfahren,1,v
memoria; -ae,die Erinnerung; das Gedächtnis,1,s
memoria comprehendere,im Gedächtnis behalten,1,x
sumere; sumo; sumpsi,nehmen,1,v
iacere; iaceo,liegen,1,v
tempus; temporis n ,die Zeit,1,c
mos; moris m,die Sitte; der Bauch; PL auch Charakter,1,s
hodie,heute,1,x
multi; -ae; -a,viele,1,x
custos; custodis m,der Wächter,1,s
bibere; bibo; bibi,trinken,1,v
saepe,oft,1,x
mirus; -a ; um,erstaunlich; sonderbar; wunderbar,1,x
copia; -ae f,die Menge; der Vorrat; die Truppen,1,s
scelus; sceleris n,das Verbrechen; deer Frevel,1,s
parare; paro,bereiten; vorbereiten; erwerben; (mit Infinitiv) vorhaben zu,1,v
ita,so,1,x
descendere; descendo; descendi,herabsteigen; hinabsteigen,1,v
quaerere; quaero; quaesivi,suchen; (ex) jemanden fragen,1,v
invenire; invenio; inveni,finden; auffinden; erfinden,1,v
qui; quae; qod,der die das; welcher welche welches,1,x
mulier; mulieris f,die Frau,1,s
propinquus; a; um,nahe; benachbart; S der Verwandte,1,x
nepos; nepotis,der Neffe; der Enkel; der Nachfahre,1,s
maritus -i,der Ehemann,1,s
pugnare; pugno,kämpfen,1,v
scire; scio,wissen; kennen,1,v
modus; -i,die Art; Weise; das Maß,1,s
eiusmodi,derartig; solche,1,x
arcessere; arcesso; arcessivi,herbeirufen; holen (lassen),1,v
vinculum,die Fessel,1,s
via; -ae,der Weg; die Straße,1,s
unus; -a; -um; gen:unius dat:uni,ein(er); rein einziger,1,x
accedere; accedo; accessi,herbeikommen; herantreten; sich nähern,1,v
oratio; orationis,die Rede,1,s
ergo,also; folglich,1,x
urbs; urbis; gen.plu urbium,die Stadt; die Großstadt; die Hauptstadt,1,s
componere; compono; composui,zusammenstellen; verfassen; ordnen,1,v
quomodo,wie; auf welche Weise,1,x
indicium; -i n,de Beweis,1,s
animus; -i,die Gesinung; der Sinn; Mut; der Geist,1,s
pergere; pergo; perrexi,fortsetzen; weitermachen; aufbrechen,1,v
clam,heimlich,1,x
pater; patris,der Vater,1,s
clarus; -a; -um,"berühmt, klar",1,x
diu,lange (Zeit),1,x
reprehendere; reprehendo; reprehendi,tadeln; kritisieren,1,v
perdere; perdo; perdidi,vernichten; verlieren; umbringen; verderben,1,v
sceleratus; -a; um,verbrecherisch; frevelhaft; subst: der Verbrecher,1,x
magis,mehr,1,x
quam,als,1,x
coniunx; coniugis,der Ehemann; die Ehefrau,1,s
cena,Hauptmalzeit; Gastmahl,1,s
clelebrare; celebro,feiern,1,v
quia,weil,1,x
susinere; sustineo,aushalten; ertragen,1,v
nonne?,etwa nicht?,1,x
placere; placeo,gefallen,1,v
hospes; hospetis,der Gast; der Gastgeber,1,s
fames; famis,der Hunger,1,s
frater; fratris,der Bruder,1,s
ecce!,sieh da! schaut!,1,x
tam,so,1,x
seavus; -a; um,wild; wütend; grimmig,1,x
certare; certo,streiten; kämpfen,1,v
quondam,einmal; einst,1,x
instituere; instituo; instituti,unterrichten; einführen; errichten,1,s
pax; pacis,der Friede,1,s
parcere; parco; peperci (mit Dat),verschonen; sparen,1,v
ira; -ae,der Zorn; die Wut,1,s
mater; matris,die Mutter,1,S
abesse; absum; afui,fort sein; weg sein; fehlen,1,v
adesse; adsum; affui,da sein; helfen,1,v
velle; volo; volui,wollen,1,v
nolle; nolo; nolui,nicht wollen,1,v
malle; malo; malui,lieber wollen,1,v
conspicere; conspicio; conspexi,erblicken; sehen,1,v
iter; itineris,die Reise; der Weg; der Marsch,1,s
movere; moveo; movi,bewegen; erregen,1,v
ducere; duco; duxi,führen; ziehen,1,v
fortasse,vielleicht,1,x
huc,hierher,1,x
caelum; -i,der Himmel,1,s
terra; -ae,das Land; die Erde,1,s
mons; montis m; GenPl montium,der Berg,1,s
altus;-a;-um,hoch; tief,1,x
tangere; tango; tetigi,berühren; erreichen,1,v
invadere; invado; invasi,eindringen; angreifen,1,v
potentia; -ae,die Macht,1,s
superare; supero,überwinden; besiegen,1,v
consistere; consisto; consisti,stehen bleiben; sich aufstellen,1,v
inferi; -orum m,die (Bewohner der) Unterwelt,1,s
neglegere; neglego; neglexi,vernachlässigen; gering schätzen; nicht beachten,1,v
prope,(adv.) nahe; in der Nähe; (präp mit akk.) nahe; in der Nähe von,1,x
bellum; -i,der Krieg,1,s
homo; hominis m,der Mensch,1,s
tradere; trado; tradidi,übergeben; überliefern,1,v
fingere; fingo; finxi,formen; gestalten; sich ausdenken,1,v
nomen; nominis,der Name,1,s
terrere; terreo,jemanden erschrecken,1,v
voluntas; voluntatis,der Wille,1,s
nescire; nescio,nicht wissen,1,v
vivere; vivo; vixi,leben,1,v
tectum,das Haus,1,s
ager; agri,der Acker; das Feld; das Land,1,s
pecus; pecoris,das Veih; die Viehherde,1,s
alere; alo; alui,aufziehen; (er)nähren,1,v
ignis; ignis,das Feuer,1,s
rapere; rapio; rapui,rauben,1,v
antea,früher,1,x
dolus,die List; die Täuschung,1,s
vas; vasis,das Gefäß,1,s
morbus; -i,die Krankheit,1,s
tenere; teneo,halten; festhalten,1,v
oportet; oportuit,es gehört sich; man muss,1,x
mors; mortis,der Tod,1,s
servire; servio,dienen; Skalve sein,1,v
rex; regis,der König,1,S
iubere; iubeo; iussi,befehlen; anordnen,1,v
vis;-;-;vim;vi f; PL. vires; virum,die Kraft; die Gewalt; die Menge; Pl auch Streitkräfte,1,s
sic,so; auf diese Weise,1,x
negare; nego,leugnen; sagen - dass nicht,1,v
putare; puto,glauben; meinen,1,v
invidere; invideo; invidi (m Dat),beneiden,1,v
instare; insto; institi,bevorstehen; drohen; bedrängen,1,v
iuvenis; iuvenis m,der junde Mann,1,s
malum,der Apfel,1,s
aureus; -; -um,golden; vergoldet,1,x
pendere; pendeo; pependi,hängen,1,v
suscipere; suscipio; suscepi,aufnehmen; auf sich nehmen; unternehmen,1,v
necare; neco,töten,1,v
umerus; -i,die schulter,1,s
socius; -i,der Gefährte; der Kamerad; der Bundesgenosse,1,s
contra,gegen,1,x
nonnulli; -ae; -a,einige; manche,1,x
constat; constitit,es steht fest; es ist bekannt,1,x
poeta; -ae -m,der Dichter,1,s
imponere; impono; imposui,hineinstellen; auferlegen; auf die Schulter legen - aufbürden,1,v
ponere; pono; posui,setzen; legen (auf); stellen,1,v
pauci; -ae; -a,wenige,1,x
hora; -ae f,die Stunde,1,s
saeculum; -i n,das Jahrhundert; das Zeitalter,1,s
procul,in der Ferne; aus der Ferne; fern,1,x
custodire; custodio,bewachen; beschützen,1,v
interea,inzwischen,1,x
profecto,in der Tat; tatsächlich,1,x
augere; augeo; auxi,vermehren; vergrößern,1,v
leo; leonis,der Löwe,1,s
annus,das Jahr,1,s
gloria; -ae,der Ruhm; die Ehre,1,s
ingens; ingentis,riesig; gewaltig,1,x
celer; celeris; celee,schnell,1,x
mortalis; mortale,sterblihc; der Stebliche; der Mensch,1,x
acer; acris; acre,scharf; heftig; wild,1,x
omnis; omne,jeder; all; ganz,1,x
incredibilis; incredibile,unglaublich,1,x
mens; mentis,der Gesits; der Verstand,1,s
-que,und (nachgestellt),1,x
quidem,"zwar, freilich",1,x
nullus; - a; -um; Gen. nullius; Dat. nulli,kein,1,x
immo,im Gegenteil; ja sogar,1,x
ne...quidem,nicht einmal,1,x
tollere; tollo; sustuli,hochheben; aufheben; erheben; beseitigen; wegnehmen; vernichten,1,v
demittere; demitto; demisi,hinabschicken; sinken lassen,1,v
lux; lucis,das Licht; das Tageslicht,1,s
caput; capitis,das Haupt; der Kopf,1,s
immortalis; immortale,unsterblich; der Unsterbliche; der Gott,1,s
fatum; -i n ,das Schicksal; der Schicksalsspruch; der Götterspruch; das Verhängnis,1,s
auxilium; -i,die hilfe,1,s
ruere; ruo; rui,(sich) stürzen; eilen; rennen,1,v
cedere; cedo; cessi,(weg-) gehen; weichen; nachgeben,1,v
valere; valeo,gesund sein; vermögen; Einfluss haben,1,v
vale/valete,lebe wohl,1,x
nihil valere,nichts vermögen; keinen Einfluss haben,1,v
violare; violo,verletzen; Misshandeln,1,v
defendere; defendo; defendi (a/ab),verteidigen (gegen),1,v
meus; -a; -um,mein,1,x
vester; vestra; vestrum,euer,1,x
tuus; -a; -um,dein,1,x
noster; nostra; nostrum,unser,1,x
suus; -a; -um,sein; ihr,1,x
sui; -orum m (pl),die Seine; die Ihre,1,x
soror; sororis,die Schwester,1,s
permittere; permitto; permisi,erlauben; überlassen,1,v
prohibere; prohibeo,abhalten (von); hindern (an); verhindern,1,v
necesse est,es ist nötig,1,x
novus; -a; -um,neu; neuartig,1,x
condere; condo; condidi,gründen,1,v
torquere; torqueo; torsi,foltern; quälen; drehen,1,v
quoque,auch,1,x
nox; noctis f; Gen Pl noctium,die Nacht,1,s
multa nocte,tief in der Nacht,1,x
prima nocte,zu begin der Nacht,1,x
ardere; ardeo; arsi,brennen; glühen,1,v
capere; capio; cepi,nehmen; fangen; ergreifen; einnehmen,1,v
patria; -ae f,das Vaterland; dei Heimat,1,s
mare; maris; (Abl. S mari / Nom Akk Pl maria / Gen Pl marium),das Meer,1,s
errare; erro,sich irren; (umher)irren,1,v
ante,vor,1,x
lacrima; -ae,die Träne,1,s
pius; -a ; -um,fromm; verantwortungsbewusst; pflichtbewusst,1,
nullo modo,auf keine Weise,1,x
mai; -orum m (Pl),die Meinen; meine Leute,1,s
et...et,sowohl... als auch,1,x
ex eo tempore,seit dieser Zeit,1,x
de vita decedere,aus dem Leben scheiden,1,x
in mentem venire,in den sinn kommen,1,x
prima luce,bei Tagesanbruch,1,x
causa; -ae,derGrund; die Ursache; der Fall; der (Gerichts-)Prozess,1,s
ceteri; -ae; -a,die übrigen; die andren,1,x
infelix; infelicis,unglücklich,1,x
superbus; -a; -um,hochmütig; stolz,1,x
mox,bald; dann,1,x
umbra; -ae,der Schatten,1,s
inter,zwischen; während,1,x
vertere; verto; verti,drehen; (um)wenden,1,v
-ne,unübersetztes Fragepartikel,1,x
iurare; iuro,schwören,1,x
per deos iurare,bei den Göttern schwören,1,x
lacrimas tenere,Tränen zurückhalten,1,x
oculos vertere,seinen Blick richten auf,1,x
regnum; -i,"die Herrschaft; die Königsherrschaft, das Reich",1,s
dum,(solange) bis; solange; (m. Ind. Präs) während,1,x
postquam,nachdem,1,x
quamquam,obwohl,1,x
murus,die Mauer,1,s
lupa; -ae,die Wölfin,1,s
